Feature,Mean |SHAP|,Direction
OverTime,0.1606025155605154,0
NumCompaniesWorked,0.08649628411226293,0
BusinessTravel,0.08394060285385309,0
DistanceFromHome,0.07726586841896944,0
JobSatisfaction,0.06943933379391487,0
WorkLifeBalance,0.05950251489289532,0
JobInvolvement,0.05793076941935136,0
YearsInCurrentRole,0.05420114456417771,1
RelationshipSatisfaction,0.053440934962583196,0
Age,0.05243863364153684,0
Department,0.05122275269358246,0
TotalWorkingYears,0.04428516302734884,0
Gender,0.04360609678065861,0
MaritalStatus,0.04267596535404338,0
YearsSinceLastPromotion,0.04199342891493917,0
JobLevel,0.035403151696840225,0
EducationField,0.0301729535930943,0
MonthlyRate,0.028495528042610286,0
YearsWithCurrManager,0.028013083714574945,0
JobRole,0.02727288454214569,0
HourlyRate,0.026584152305702484,0
PercentSalaryHike,0.0250637566453317,0
YearsAtCompany,0.0247496239562775,0
MonthlyIncome,0.02373445910556298,0
DailyRate,0.02104183537955219,0
Education,0.016496506761889927,0
